"id","createdAt","userUid","boothId"
146,"2023-08-26 09:40:50.880816",kfGBHNOl3DRL5QFmqHny85w5ZIY2,1
147,"2023-08-26 09:41:31.317744",zpc39kB4Wmd8FQdqynSdL7j839K2,10
148,"2023-08-26 09:41:31.826273",zpc39kB4Wmd8FQdqynSdL7j839K2,10
149,"2023-08-26 09:41:41.807586",zpc39kB4Wmd8FQdqynSdL7j839K2,11
150,"2023-08-26 09:44:10.912582",zpc39kB4Wmd8FQdqynSdL7j839K2,10
151,"2023-08-26 10:34:29.601206",f6lND7Opp9egsFr8coKfJvd2yf52,1
152,"2023-08-26 10:34:36.761011",f6lND7Opp9egsFr8coKfJvd2yf52,1
153,"2023-08-26 10:34:39.651587",SMPBRCQvcheHmqkVpxQNiaJcKqi2,1
154,"2023-08-26 10:34:41.525167",TtrH7u6nxKSdgRBYlKp5y7QI2JU2,1
155,"2023-08-26 10:34:43.154341",JLHEcLzsEuc7RES9lLhz2F4DQ193,1
156,"2023-08-26 10:35:02.734983","5KAiFBvffLXGrRFtRR4ae3ztxAE2",1
157,"2023-08-26 10:41:03.023946",XGzCUyeQclOvNUC3u5RZBFDSL952,2
158,"2023-08-26 10:45:18.565962",CZLAbjP9Qdgr250TpktfMUNUD7f1,1
159,"2023-08-26 10:45:21.053663",My60mhdv8rWBquxbQVeAwEMQhBX2,1
160,"2023-08-26 10:45:21.657350",My60mhdv8rWBquxbQVeAwEMQhBX2,1
161,"2023-08-26 10:45:22.327531",My60mhdv8rWBquxbQVeAwEMQhBX2,1
162,"2023-08-26 10:45:23.086399",My60mhdv8rWBquxbQVeAwEMQhBX2,1
163,"2023-08-26 10:45:25.194543",IutGGjeYKfR63U9RGvKOhitJwan1,1
164,"2023-08-26 10:45:25.833623",IutGGjeYKfR63U9RGvKOhitJwan1,1
165,"2023-08-26 10:45:35.203034",CZLAbjP9Qdgr250TpktfMUNUD7f1,1
166,"2023-08-26 10:46:04.764552",xSyLrK0WADTBLeAfYg0XgyJxwj53,1
167,"2023-08-26 10:46:12.239375",jPwkOEjOMmgTDFworTOTT93ZbgZ2,1
168,"2023-08-26 10:46:12.923667",jPwkOEjOMmgTDFworTOTT93ZbgZ2,1
169,"2023-08-26 10:48:23.671739",YXebxc4IRmRsoZ1HzizLC7HV4xN2,1
170,"2023-08-26 10:48:30.692945",wWOfRuFFqyTxXOIeZGbU65aNNOH3,1
171,"2023-08-26 10:51:30.240339",xSyLrK0WADTBLeAfYg0XgyJxwj53,4
172,"2023-08-26 10:52:06.336209",GZMThTgH0bQWP2lG0oaujdclPXg1,4
173,"2023-08-26 10:52:12.596969",ERHHIi3XBBY2GsQg5xfV7odmUnI2,4
174,"2023-08-26 10:52:40.451643",xSyLrK0WADTBLeAfYg0XgyJxwj53,2
175,"2023-08-26 10:54:12.229978",LdugvUzNNdV9edPQpEJjNOODjF03,1
176,"2023-08-26 10:54:22.385926",djm2WfPkP9fR90RY7Mc1hlPYQkV2,1
177,"2023-08-26 10:56:45.566966",ERHHIi3XBBY2GsQg5xfV7odmUnI2,1
178,"2023-08-26 10:56:55.643872",GZMThTgH0bQWP2lG0oaujdclPXg1,1
179,"2023-08-26 10:56:56.203642",GZMThTgH0bQWP2lG0oaujdclPXg1,1
180,"2023-08-26 10:57:53.510293",GZMThTgH0bQWP2lG0oaujdclPXg1,1
181,"2023-08-26 11:03:22.897995",xSyLrK0WADTBLeAfYg0XgyJxwj53,3
182,"2023-08-26 11:07:22.273069",uFqzgS0FZobgNtTSjKWWiR2jMaT2,6
183,"2023-08-26 11:07:27.951555",zquU3XIbMTbWp7SUgCvneR1YJfh1,6
184,"2023-08-26 11:08:02.143776",tlJgeFilHmRRq5VUjqE4Pus2kg42,1
185,"2023-08-26 11:08:09.223123",gxRLKyZYzrhDRfNWLW0mQkqpCMw1,1
186,"2023-08-26 11:08:09.792960",gxRLKyZYzrhDRfNWLW0mQkqpCMw1,1
187,"2023-08-26 11:08:16.263421","40sgnj9phJSUr2357Ye8AH28TNI2",6
